scope,item_key,item_id,item_name,quality,added_at,last_velocity,is_active
,,35073,,,2026-08-06T07:29:22Z,,1
,,48161,,,2026-08-06T07:29:22Z,,1
,,47193,,,2026-08-06T07:29:22Z,,1
,,27968,,,2026-08-06T07:29:22Z,,1
,,49274,,,2026-08-06T07:29:22Z,,1
,,44011,,,2026-08-06T07:29:22Z,,1
,,15858,,,2026-08-06T07:29:22Z,,1
,,29680,,,2026-08-06T07:29:22Z,,1
,,44004,,,2026-08-06T07:29:22Z,,1
,,44873,,,2026-08-06T07:29:22Z,,1
,,27831,,,2026-08-06T07:29:22Z,,1
,,10097,,,2026-08-06T07:29:22Z,,1
,,2000,,,2026-08-06T07:29:22Z,,1
,,43556,,,2026-08-06T07:29:22Z,,1
,,20531,,,2026-08-06T07:29:22Z,,1
,,27698,,,2026-08-06T07:29:22Z,,1
,,33116,,,2026-08-06T07:29:22Z,,1
,,40390,,,2026-08-06T07:29:22Z,,1
,,52288,,,2026-08-06T07:29:22Z,,1
,,46083,,,2026-08-06T07:29:22Z,,1
,,13758,,,2026-08-06T07:29:22Z,,1
,,50442,,,2026-08-06T07:29:22Z,,1
,,49834,,,2026-08-06T07:29:22Z,,1
,,50055,,,2026-08-06T07:29:22Z,,1
,,51266,,,2026-08-06T07:29:22Z,,1
,,35577,,,2026-08-06T07:29:22Z,,1
,,44028,,,2026-08-06T07:29:22Z,,1
,,48113,,,2026-08-06T07:29:22Z,,1
,,2792,,,2026-08-06T07:29:22Z,,1
,,49280,,,2026-08-06T07:29:22Z,,1
,,28859,,,2026-08-06T07:29:22Z,,1
,,5674,,,2026-08-06T07:29:22Z,,1
,,12567,,,2026-08-06T07:29:22Z,,1
,,8165,,,2026-08-06T07:29:22Z,,1
,,36229,,,2026-08-06T07:29:22Z,,1
,,52256,,,2026-08-06T07:29:22Z,,1
,,18387,,,2026-08-06T07:29:22Z,,1
,,10526,,,2026-08-06T07:29:22Z,,1
,,41110,,,2026-08-06T07:29:22Z,,1
